label;county_id;country_id
Abrud;1;188
Achimețești;1;188
Acmariu;1;188
Aiud;1;188
Alba Iulia;1;188
Albac;1;188
Alecuș;1;188
Almașu de Mijloc;1;188
Almașu Mare;1;188
Ampoița;1;188
Anghelești;1;188
Arieșeni;1;188
Aronești;1;188
Arți;1;188
Asinip;1;188
Avram Iancu;1;188
Avrămești (Arieșeni);1;188
Avrămești (Avram Iancu);1;188
Baba;1;188
Baia de Arieș;1;188
Balomiru de Câmp;1;188
Băcăinți;1;188
Bădăi;1;188
Băgău;1;188
Băi;1;188
Bălcaciu;1;188
Bălești;1;188
Bălești-Cătun;1;188
Bălmoșești;1;188
Bărăști;1;188
Bărbești;1;188
Băzești;1;188
Bârdești;1;188
Bârlești (Bistra);1;188
Bârlești (Mogoș);1;188
Bârlești (Scărișoara);1;188
Bârlești-Cătun;1;188
Bârsana;1;188
Bârzan;1;188
Bârzogani;1;188
Beldiu;1;188
Benic;1;188
Berghin;1;188
Beța;1;188
Bidigești;1;188
Biharia;1;188
Biia;1;188
Bilănești;1;188
Bisericani;1;188
Bistra;1;188
Blaj;1;188
Blandiana;1;188
Blidești;1;188
Bobărești (Vidra);1;188
Bobărești (Sohodol);1;188
Bocești;1;188
Bodești;1;188
Bodrești;1;188
Bogdănești (Vidra);1;188
Bogdănești (Mogoș);1;188
Boglești;1;188
Boldești;1;188
Bolovănești;1;188
Bordeștii Poieni;1;188
Botești (Scărișoara);1;188
Botești (Zlatna);1;188
Boțani;1;188
Boz;1;188
Brădeana;1;188
Brădești;1;188
Brădet;1;188
Brăzești;1;188
Bubești;1;188
Bucerdea Grânoasă;1;188
Bucerdea Vinoasă;1;188
Bucium;1;188
Bucium-Sat;1;188
Budăiești;1;188
Budeni;1;188
Bulbuc;1;188
Buninginea;1;188
Bunta;1;188
Burzești;1;188
Burzonești;1;188
Butești (Horea);1;188
Butești (Mogoș);1;188
Capu Dealului;1;188
Carpen;1;188
Carpenii de Sus;1;188
Casa de Piatră;1;188
Călugărești;1;188
Căpâlna;1;188
Căpâlna de Jos;1;188
Căptălan;1;188
Căpud;1;188
Cărpiniș (Gârbova);1;188
Cărpiniș (Roșia Montană);1;188
Căsoaia;1;188
Câlnic;1;188
Câmpeni;1;188
Câmpu Goblii;1;188
Cândești;1;188
Cârăști;1;188
Cârțulești;1;188
Cenade;1;188
Cerbu;1;188
Cergău Mare;1;188
Cergău Mic;1;188
Ceru-Băcăinți;1;188
Cetatea de Baltă;1;188
Cetea;1;188
Cheia;1;188
Cheile Cibului;1;188
Cheleteni;1;188
Cib;1;188
Cicău;1;188
Cicârd;1;188
Cioara de Sus;1;188
Ciocașu;1;188
Cionești;1;188
Cistei;1;188
Cisteiu de Mureș;1;188
Ciuculești;1;188
Ciugud;1;188
Ciugudu de Jos;1;188
Ciugudu de Sus;1;188
Ciuguzel;1;188
Ciuldești;1;188
Ciumbrud;1;188
Ciuruleasa;1;188
Coasta Henții;1;188
Cobleș;1;188
Cocești;1;188
Cocoșești;1;188
Cojocani;1;188
Coleșeni;1;188
Colibi;1;188
Colțești;1;188
Copand;1;188
Corna;1;188
Cornu;1;188
Coroiești;1;188
Corțești;1;188
Costești (Poiana Vadului);1;188
Costești (Albac);1;188
Coșlariu;1;188
Coșlariu Nou;1;188
Cotorăști;1;188
Craiva;1;188
Crăciunelu de Jos;1;188
Crăciunelu de Sus;1;188
Crețești;1;188
Cricău;1;188
Cristești;1;188
Crișeni;1;188
Cucuta;1;188
Cugir;1;188
Culdești;1;188
Cunța;1;188
Curături;1;188
Curmătură;1;188
Curpeni;1;188
Cut;1;188
Daia Română;1;188
Dăroaia;1;188
Dâmbureni;1;188
Dârlești;1;188
Deal;1;188
Dealu Bajului;1;188
Dealu Caselor;1;188
Dealu Crișului;1;188
Dealu Doștatului;1;188
Dealu Ferului;1;188
Dealu Frumos (Vadu Moților);1;188
Dealu Frumos (Gârda de Sus);1;188
Dealu Geoagiului;1;188
Dealu Goiești;1;188
Dealu Lămășoi;1;188
Dealu Muntelui;1;188
Dealu Ordâncușii;1;188
Dealu Roatei;1;188
Decea;1;188
Deoncești;1;188
Deve;1;188
Dilimani;1;188
Dobra;1;188
Dobrești;1;188
Dobrot;1;188
Dogărești;1;188
Dolești;1;188
Doptău;1;188
Dos;1;188
Dosu Luncii;1;188
Dosu Văsești;1;188
Doștat;1;188
Drașov;1;188
Drăgoiești-Luncă;1;188
Drâmbar;1;188
Duduieni;1;188
Dumăcești;1;188
Dumbrava (Săsciori);1;188
Dumbrava (Zlatna);1;188
Dumbrăvița;1;188
Dumești;1;188
Dumitra;1;188
După Deal (Lupșa);1;188
După Deal (Ponor);1;188
După Pleșe;1;188
Durăști;1;188
Fața;1;188
